support,itemsets,itemset_size
0.014932374325697757,"frozenset({'subject=state-budget', 'label=mostly-true'})",2
0.020639512156985382,"frozenset({'label=mostly-true', 'subject=taxes'})",2
0.014463294503948088,"frozenset({'party=democrat', 'label=pants-fire'})",2
0.036040966304432806,"frozenset({'party=republican', 'label=pants-fire'})",2
0.028301149245563286,"frozenset({'party=unknown', 'label=pants-fire'})",2
0.031819247908685795,"frozenset({'state=Unknown', 'label=pants-fire'})",2
0.011726995543741693,"frozenset({'subject=health-care', 'label=pants-fire'})",2
0.06309123602533032,"frozenset({'label=true', 'party=democrat'})",2
0.06316941599562192,"frozenset({'party=republican', 'label=true'})",2
0.025955750136814948,"frozenset({'label=true', 'party=unknown'})",2
0.014385114533656478,"frozenset({'label=true', 'state=Florida'})",2
0.010554295989367524,"frozenset({'label=true', 'state=Illinois'})",2
0.012430615276366195,"frozenset({'label=true', 'state=Ohio'})",2
0.01633961379094676,"frozenset({'state=Texas', 'label=true'})",2
0.029004768978187788,"frozenset({'state=Unknown', 'label=true'})",2
0.019701352513486044,"frozenset({'label=true', 'subject=economy'})",2
0.011101555781408803,"frozenset({'subject=education', 'label=true'})",2
0.011257915721992025,"frozenset({'label=true', 'subject=elections'})",2
0.011883355484324915,"frozenset({'label=true', 'subject=federal-budget'})",2
0.012899695098115862,"frozenset({'label=true', 'subject=health-care'})",2
0.010788835900242358,"frozenset({'label=true', 'subject=jobs'})",2
0.010397936048784301,"frozenset({'subject=state-budget', 'label=true'})",2
0.012586975216949417,"frozenset({'label=true', 'subject=taxes'})",2
0.031271988116644514,"frozenset({'party=democrat', 'state=Florida'})",2
0.052224220154796344,"frozenset({'party=democrat', 'state=Illinois'})",2
0.028066609334688453,"frozenset({'party=democrat', 'state=New York'})",2
0.016105073880071926,"frozenset({'party=democrat', 'state=Ohio'})",2
0.010319756078492691,"frozenset({'state=Oregon', 'party=democrat'})",2
0.017355953404737706,"frozenset({'party=democrat', 'state=Rhode Island'})",2
0.026737549839731062,"frozenset({'state=Texas', 'party=democrat'})",2
0.0290829489484794,"frozenset({'state=Unknown', 'party=democrat'})",2
0.01821593307794543,"frozenset({'state=Virginia', 'party=democrat'})",2
0.021343131889609884,"frozenset({'party=democrat', 'state=Wisconsin'})",2
0.01946681260261121,"frozenset({'party=democrat', 'subject=candidates-biography'})",2
0.01579235399890548,"frozenset({'party=democrat', 'subject=crime'})",2
0.04120084434367915,"frozenset({'party=democrat', 'subject=economy'})",2
0.02619029004768978,"frozenset({'subject=education', 'party=democrat'})",2
0.0193886326323196,"frozenset({'party=democrat', 'subject=elections'})",2
0.013837854741615198,"frozenset({'party=democrat', 'subject=energy'})",2
0.010710655929950746,"frozenset({'subject=environment', 'party=democrat'})",2
0.02306309123602533,"frozenset({'party=democrat', 'subject=federal-budget'})",2
0.012821515127824252,"frozenset({'party=democrat', 'subject=foreign-policy'})",2
0.01203971542490814,"frozenset({'party=democrat', 'subject=guns'})",2
0.03596278633414119,"frozenset({'party=democrat', 'subject=health-care'})",2
0.012508795246657807,"frozenset({'subject=history', 'party=democrat'})",2
0.01203971542490814,"frozenset({'party=democrat', 'subject=job-accomplishments'})",2
0.025643030255648503,"frozenset({'party=democrat', 'subject=jobs'})",2
0.010788835900242358,"frozenset({'subject=legal-issues', 'party=democrat'})",2
0.022906731295442108,"frozenset({'subject=state-budget', 'party=democrat'})",2
0.02970838871081229,"frozenset({'party=democrat', 'subject=taxes'})",2
0.011023375811117191,"frozenset({'party=democrat', 'subject=women'})",2
0.011726995543741693,"frozenset({'party=democrat', 'subject=workers'})",2
0.013759674771323586,"frozenset({'state=Unknown', 'party=non-party-role'})",2
0.01704323352357126,"frozenset({'party=republican', 'state=Arizona'})",2
0.05628957860996013,"frozenset({'party=republican', 'state=Florida'})",2
0.0242357907903995,"frozenset({'party=republican', 'state=Georgia'})",2
0.016652333672113204,"frozenset({'party=republican', 'state=Massachusetts'})",2
0.012352435306074584,"frozenset({'party=republican', 'state=New Jersey'})",2
0.03291376749276835,"frozenset({'party=republican', 'state=New York'})",2
0.026815729810022674,"frozenset({'party=republican', 'state=Ohio'})",2
0.06340395590649675,"frozenset({'party=republican', 'state=Texas'})",2
0.04901884137284028,"frozenset({'party=republican', 'state=Unknown'})",2
0.019154092721444766,"frozenset({'party=republican', 'state=Virginia'})",2
0.0394808849972637,"frozenset({'party=republican', 'state=Wisconsin'})",2
0.010476116019075913,"frozenset({'party=republican', 'subject=abortion'})",2
0.03080290829489485,"frozenset({'party=republican', 'subject=candidates-biography'})",2
0.01461965444453131,"frozenset({'party=republican', 'subject=crime'})",2
0.012508795246657807,"frozenset({'party=republican', 'subject=deficit'})",2
0.051286060511297006,"frozenset({'party=republican', 'subject=economy'})",2
0.028066609334688453,"frozenset({'party=republican', 'subject=education'})",2
0.02548667031506528,"frozenset({'party=republican', 'subject=elections'})",2
0.01641779376123837,"frozenset({'party=republican', 'subject=energy'})",2
0.01274333515753264,"frozenset({'party=republican', 'subject=environment'})",2
0.04229536392776171,"frozenset({'party=republican', 'subject=federal-budget'})",2
0.023532171057774998,"frozenset({'party=republican', 'subject=foreign-policy'})",2
0.05089516065983895,"frozenset({'party=republican', 'subject=health-care'})",2
0.016652333672113204,"frozenset({'party=republican', 'subject=history'})",2
0.030724728324603236,"frozenset({'party=republican', 'subject=immigration'})",2
0.013368774919865531,"frozenset({'party=republican', 'subject=job-accomplishments'})",2
0.03314830740364318,"frozenset({'party=republican', 'subject=jobs'})",2
0.01203971542490814,"frozenset({'party=republican', 'subject=legal-issues'})",2
0.014306934563364865,"frozenset({'party=republican', 'subject=military'})",2
0.03330466734422641,"frozenset({'party=republican', 'subject=state-budget'})",2
0.011805175514033305,"frozenset({'party=republican', 'subject=state-finances'})",2
0.010632475959659136,"frozenset({'party=republican', 'subject=states'})",2
0.010476116019075913,"frozenset({'party=republican', 'subject=stimulus'})",2
0.04550074270971777,"frozenset({'party=republican', 'subject=taxes'})",2
0.016495973731529983,"frozenset({'party=republican', 'subject=terrorism'})",2
0.010319756078492691,"frozenset({'party=republican', 'subject=transportation'})",2
0.12196075365491361,"frozenset({'state=Unknown', 'party=unknown'})",2
0.013212414979282308,"frozenset({'party=unknown', 'subject=economy'})",2
0.014385114533656478,"frozenset({'subject=education', 'party=unknown'})",2
0.02001407239465249,"frozenset({'subject=health-care', 'party=unknown'})",2
0.013368774919865531,"frozenset({'party=unknown', 'subject=pundits'})",2
0.01508873426628098,"frozenset({'party=unknown', 'subject=taxes'})",2
0.011179735751700415,"frozenset({'subject=candidates-biography', 'state=Florida'})",2
0.011257915721992025,"frozenset({'subject=health-care', 'state=Florida'})",2
0.011257915721992025,"frozenset({'subject=economy', 'state=Ohio'})",2
0.010554295989367524,"frozenset({'subject=economy', 'state=Rhode Island'})",2
